timestamp,gps_lat,gps_lon,gps_alt,gps_fix_type,gps_satellites,gps_speed,imu_xacc,imu_yacc,imu_zacc,imu_xgyro,imu_ygyro,imu_zgyro,baro_pressure,baro_temp,mag_x,mag_y,mag_z,label
0.005,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2536,0,0,0,0
0.007,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2536,0,0,0,0
0.009,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2550,224,80,-528,0
0.011,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2552,224,80,-528,0
0.013,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2553,224,80,-528,0
0.014,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2555,224,80,-528,0
0.016,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2557,224,80,-528,0
0.017,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2559,224,80,-528,0
0.115,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2561,224,80,-528,0
0.215,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2565,224,80,-528,0
0.317,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2567,224,80,-528,0
0.418,0.0,0.0,0.0,0,0,0.0,0,0,-1000,0,0,0,945.0282592773438,2568,224,80,-528,0
0.518,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2570,224,80,-528,0
0.619,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2572,224,80,-528,0
0.714,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2574,224,80,-528,0
0.815,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2576,224,80,-528,0
0.916,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2577,224,80,-528,0
1.018,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2579,224,80,-528,0
1.118,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2581,224,80,-528,0
1.218,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2583,224,80,-528,0
1.318,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2585,224,80,-528,0
1.416,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2585,224,80,-528,0
1.517,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2586,224,80,-528,0
1.614,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2588,224,80,-528,0
1.715,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2590,224,80,-528,0
1.815,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2592,224,80,-528,0
1.914,0.0,0.0,0.0,0,0,0.0,0,0,-1000,0,0,0,945.0282592773438,2594,224,80,-528,0
2.017,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2595,224,80,-528,0
2.112,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2597,224,80,-528,0
2.212,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2599,224,80,-528,0
2.318,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2602,224,80,-528,0
2.419,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2604,224,80,-528,0
2.519,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2606,224,80,-528,0
2.616,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2607,224,80,-528,0
2.719,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2609,224,80,-528,0
2.818,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2611,224,80,-528,0
2.917,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2612,224,80,-528,0
3.017,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2614,224,80,-528,0
3.117,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2616,224,80,-528,0
3.218,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2618,224,80,-528,0
3.315,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2619,224,80,-528,0
3.417,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2621,224,80,-528,0
3.515,0.0,0.0,0.0,0,0,0.0,0,0,-1000,0,0,0,945.0282592773438,2621,224,80,-528,0
3.616,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2623,224,80,-528,0
3.713,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2624,224,80,-528,0
3.817,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2626,224,80,-528,0
3.915,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2627,224,80,-528,0
4.013,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2629,224,80,-528,0
4.115,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2631,224,80,-528,0
4.214,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2632,224,80,-528,0
4.315,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2634,224,80,-528,0
4.417,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2637,224,80,-528,0
4.52,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2639,224,80,-528,0
4.619,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2640,224,80,-528,0
4.715,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2642,224,80,-528,0
4.817,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2644,224,80,-528,0
4.919,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2645,224,80,-528,0
5.015,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2647,224,80,-528,0
5.118,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2648,224,80,-528,0
5.219,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2650,224,80,-528,0
5.315,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2651,224,80,-528,0
5.419,0.0,0.0,0.0,0,0,0.0,0,0,-1000,0,0,0,945.0282592773438,2653,224,80,-528,0
5.517,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2655,224,80,-528,0
5.618,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2655,224,80,-528,0
5.716,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2656,224,80,-528,0
5.817,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2658,224,80,-528,0
5.918,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2659,224,80,-528,0
6.014,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2661,224,80,-528,0
6.114,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2662,224,80,-528,0
6.214,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2664,224,80,-528,0
6.315,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2665,224,80,-528,0
6.417,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2667,224,80,-528,0
6.521,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2670,224,80,-528,0
6.618,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2671,224,80,-528,0
